,姓名,性别,出生年份（年）,年龄（岁）,身高(cm),体重(kg),项目,省份,身价
117,王镇 ,男,1991年,27,177,63,男子20公里竞走,黑龙江省  ,100000
118,魏宁 ,女,1982年,36,166,60,射击,山东省  ,100000
119,王梦雨 ,女,1992年,26,170,70,曲棍球,江苏省  ,100000
120,王智伟 ,男,1988年,30,178,75,射击,山西省,100000
121,吴敏霞 ,女,1985年,33,167,53,跳水,上海市,100000
122,王铁鑫 ,男,1989年,29,188,75,赛艇,浙江省,100000
123,汪顺 ,男,1994年,24,192,74,游泳,浙江省,100000
124,王哲林 ,男,1994年,24,214,110,篮球,福建省 ,100000
125,王峥 ,女,1987年,31,174,87,女子链球,陕西省,100000
126,王爱忱 ,男,1985年,33,185,70,帆船,辽宁省,100000
127,王晓丽 ,女,1982年,36,169,70,帆船,山东省,100000
128,王歆艳 ,女,1991年,27,181,73,水球,上海市,100000
129,王施佳 ,女,1993年,25,173,62,游泳,辽宁省,100000
130,徐晓龙 ,男,1992年,26,188,70,田径,重庆市,100000
131,许昕 ,男,1990年,28,180,67,乒乓球,上海市,100000
132,魏秋月 ,女,1988年,30,183,75,排球,天津市,100000
133,徐莉佳 ,女,1987年,31,176,60,帆船,上海市,100000
134,王仪涵 ,女,1988年,30,178,65,羽毛球,上海市,100000
135,邢宇 ,男,1991年,27,188,77,射箭,北京市,100000
136,谢震业 ,男,1993年,25,183,76,田径,浙江省,100000
137,辛鑫 ,女,1996年,22,175,58,游泳,山东省  ,100000
138,许安琪 ,女,1992年,26,183,75,击剑,江苏省  ,100000
139,王嘉男 ,男,1988年,30,185,70,田径,辽宁省,100000
140,徐云丽 ,女,1987年,31,197,86,排球,福建省 ,100000
141,于伟 ,男,1987年,31,180,62,田径,山东省  ,100000
142,袁琦琦 ,女,1995年,23,165,50,女子短跑,江苏省  ,100000
143,徐晨 ,男,1984年,34,186,80,羽毛球,江苏省  ,100000
144,岳超 ,女,1991年,27,165,55,女子马拉松,江苏省  ,100000
145,杨洋 ,男,1991年,27,183,75,乒乓球,山东省  ,100000
146,谢文骏 ,男,1990年,28,190,85,田径,上海市,100000
147,薛长锐 ,男,1991年,27,188,75,田径,山东省  ,100000
